dhis2_facility_uid,dhis2_facility_name,dhis2_subcounty_uid,dhis2_subcounty_name,dhis2_district_uid,dhis2_district_name,dhis2_region
Kz4R1fHjE7p,Busaba HC III,saGv90kz1c0,Busaba Subcounty,MtpE3CH6vq3,Butaleja District,Bukedi
YFyMK0BnLsG,Busabi HC III,u2n8s5Ol9SE,Busabi Subcounty,MtpE3CH6vq3,Butaleja District,Bukedi
Pt69fvwAO5D,Busolwe Community Clinic,tbrqQuOozOK,Busolwe Town Council,MtpE3CH6vq3,Butaleja District,Bukedi
jBZmte6aqoD,Busolwe Hospital,tbrqQuOozOK,Busolwe Town Council,MtpE3CH6vq3,Butaleja District,Bukedi
Tj9XBHhCMQH,Butaleja HC III,IT6uTDE2Mmb,Butaleja Town Council,MtpE3CH6vq3,Butaleja District,Bukedi
NgHtzfSODK6,Butaleja Prison HC II,IT6uTDE2Mmb,Butaleja Town Council,MtpE3CH6vq3,Butaleja District,Bukedi
RtIBg3hpszv,Byansi Medical Clinic,tbrqQuOozOK,Busolwe Town Council,MtpE3CH6vq3,Butaleja District,Bukedi
iaiDpQq3nKQ,Cure Medical Clinic,tbrqQuOozOK,Busolwe Town Council,MtpE3CH6vq3,Butaleja District,Bukedi
Z577WDhAXUq,Doho HC II,Iw6keYNnGOk,Mazimasa Subcounty,MtpE3CH6vq3,Butaleja District,Bukedi
a7PVBlWykhK,Hahoola HC II,saGv90kz1c0,Busaba Subcounty,MtpE3CH6vq3,Butaleja District,Bukedi
Xm71SWWTqfb,Kabasa Memorial Hospital,Iw6keYNnGOk,Mazimasa Subcounty,MtpE3CH6vq3,Butaleja District,Bukedi
aPNq1GUh1et,Kachonga HC III,Iw6keYNnGOk,Mazimasa Subcounty,MtpE3CH6vq3,Butaleja District,Bukedi
RF6xb2gsP8W,Kalif Medical Service,tbrqQuOozOK,Busolwe Town Council,MtpE3CH6vq3,Butaleja District,Bukedi
zgyDdqkSzJA,Kangalaba HC III,cTEozrMez9F,Himutu Subcounty,MtpE3CH6vq3,Butaleja District,Bukedi
RBlwIDtNQ03,Kanyenya HC II,cTEozrMez9F,Himutu Subcounty,MtpE3CH6vq3,Butaleja District,Bukedi
hP8znrZ9shU,Madungha HC II,I7p8gyqE4lE,Nawanjofu Subcounty,MtpE3CH6vq3,Butaleja District,Bukedi
JriG4BKRoEx,Muhuyu HC II,u2n8s5Ol9SE,Busabi Subcounty,MtpE3CH6vq3,Butaleja District,Bukedi
udCPHdcVeb7,Mulagi HC III,saGv90kz1c0,Busaba Subcounty,MtpE3CH6vq3,Butaleja District,Bukedi
cwGt2cWV5TN,Nabiganda HC IV,yRmad8ExtPp,Nabiganda Town Council,MtpE3CH6vq3,Butaleja District,Bukedi
MvSkymY8XLd,Nakasanga HC II,FTbWW3RQjIc,Naweyo Subcounty,MtpE3CH6vq3,Butaleja District,Bukedi
YEgOR0cGGnF,Nakwasi HC III,aDPJkOqtFvR,Butaleja Subcounty,MtpE3CH6vq3,Butaleja District,Bukedi
as02CT6yxs4,Nampologoma HC II,XHmgImvm1YA,Kachonga Subcounty,MtpE3CH6vq3,Butaleja District,Bukedi
cXN1f5pUPwE,Namulo HC II,cTEozrMez9F,Himutu Subcounty,MtpE3CH6vq3,Butaleja District,Bukedi
UEVOLIT1crh,Naweyo HC III,FTbWW3RQjIc,Naweyo Subcounty,MtpE3CH6vq3,Butaleja District,Bukedi
ZVuxx1C7TaL,Peoples Welfare Clinic,tbrqQuOozOK,Busolwe Town Council,MtpE3CH6vq3,Butaleja District,Bukedi
V9sblzzswJW,Tambala Medical Centre,tbrqQuOozOK,Busolwe Town Council,MtpE3CH6vq3,Butaleja District,Bukedi
RtkQwOFYMHN,Yayeri Medical Clinic,tbrqQuOozOK,Busolwe Town Council,MtpE3CH6vq3,Butaleja District,Bukedi
VjGJ82dLvzu,Yebale Medical Centre,tbrqQuOozOK,Busolwe Town Council,MtpE3CH6vq3,Butaleja District,Bukedi
a93zYnWO0cT,Bugobango HC II,raWSnyIytKm,Ngando Subcounty,a3LMKP8z8Xj,Butambala District,South Central
v6KdyypBQBB,Bulo Clinic HC II,B5hUY8cW6hE,Bulo Subcounty,a3LMKP8z8Xj,Butambala District,South Central
laPnCXSZ0Oo,Bulo HC III,B5hUY8cW6hE,Bulo Subcounty,a3LMKP8z8Xj,Butambala District,South Central
lxS0qhIRkQv,Butaaka HC II,Y9BKBtIjli6,Kibibi Subcounty,a3LMKP8z8Xj,Butambala District,South Central
kMZGxkg0VmA,Butende HC II,raWSnyIytKm,Ngando Subcounty,a3LMKP8z8Xj,Butambala District,South Central
E1TxjBqAvWB,Epi-Centre Senge HC III,lBaXWVG0uKY,Kalamba Subcounty,a3LMKP8z8Xj,Butambala District,South Central
xuCJ8NBomxP,Gombe (Butambala) Hospital,McggXNT9Zyg,Gombe Town Council,a3LMKP8z8Xj,Butambala District,South Central
C6mAtukYNit,Kabasanda  Prison HC II,lBaXWVG0uKY,Kalamba Subcounty,a3LMKP8z8Xj,Butambala District,South Central
BE5LiYZjBvM,Kabasanda HC II,lBaXWVG0uKY,Kalamba Subcounty,a3LMKP8z8Xj,Butambala District,South Central
aDGztjb0S7j,Kalamba Community HC II,lBaXWVG0uKY,Kalamba Subcounty,a3LMKP8z8Xj,Butambala District,South Central
yVfysxEDePw,Kawonawo Domiciary Clinic - Kibibi HC II,Y9BKBtIjli6,Kibibi Subcounty,a3LMKP8z8Xj,Butambala District,South Central
gr1CRYxuJmr,Kibibi Nursing Home HC III,Y9BKBtIjli6,Kibibi Subcounty,a3LMKP8z8Xj,Butambala District,South Central
aP3vXWciBlE,Kibugga HC II,BA5mnJAevwO,Budde Subcounty,a3LMKP8z8Xj,Butambala District,South Central
gt954ahlttH,Kidawalime Nursing Home HC II,raWSnyIytKm,Ngando Subcounty,a3LMKP8z8Xj,Butambala District,South Central
jSTIbH5xzbW,Kilokola HC II,lBaXWVG0uKY,Kalamba Subcounty,a3LMKP8z8Xj,Butambala District,South Central
O4sKsWoxekL,Kitimba HC III,lBaXWVG0uKY,Kalamba Subcounty,a3LMKP8z8Xj,Butambala District,South Central
FI11C32LNK8,Kiziiko HC II,Y9BKBtIjli6,Kibibi Subcounty,a3LMKP8z8Xj,Butambala District,South Central
qYIh49gM216,Kyabadaza HC III,BA5mnJAevwO,Budde Subcounty,a3LMKP8z8Xj,Butambala District,South Central
F3r8Fr87Bnx,Maria Assumpta HC III,B5hUY8cW6hE,Bulo Subcounty,a3LMKP8z8Xj,Butambala District,South Central
lH80zq7z1Hg,Ngando HC III,raWSnyIytKm,Ngando Subcounty,a3LMKP8z8Xj,Butambala District,South Central
J5ZGPIn0Opf,Nsozibirye HC II,lBaXWVG0uKY,Kalamba Subcounty,a3LMKP8z8Xj,Butambala District,South Central
oglrek2bw9A,Ntolomwe HC II,McggXNT9Zyg,Gombe Town Council,a3LMKP8z8Xj,Butambala District,South Central
U5TE1ItzA0v,Sanyu Domicilliary HC II,B5hUY8cW6hE,Bulo Subcounty,a3LMKP8z8Xj,Butambala District,South Central
gxpqLAdym0H,Savio Medical Centre HC II,lBaXWVG0uKY,Kalamba Subcounty,a3LMKP8z8Xj,Butambala District,South Central
xRyghoPrl27,Butebo HC IV,TmMScTorGC2,Butebo Town Council,FDPqRvcW3NN,Butebo District,Bukedi
auY0zuO56sC,Galimagi (Butebo) HC III,HoW0caoiLjf,Petete Subcounty,FDPqRvcW3NN,Butebo District,Bukedi
akKqxsRNtae,Kabwangasi HC III,Vko6vxEEGTL,Kabwangasi Subcounty,FDPqRvcW3NN,Butebo District,Bukedi
anWd1qwL6gr,Kachuru HC II,Vko6vxEEGTL,Kabwangasi Subcounty,FDPqRvcW3NN,Butebo District,Bukedi
V5V0JDSbfo5,Kakoro  Prison Clinic,NcuAdU0UfGD,Kakoro Subcounty,FDPqRvcW3NN,Butebo District,Bukedi
xz1FbbXXtew,Kakoro HC III,NcuAdU0UfGD,Kakoro Subcounty,FDPqRvcW3NN,Butebo District,Bukedi
g4eDmlzUtWL,Kakoro SDA Dispensary HC II,Vko6vxEEGTL,Kabwangasi Subcounty,FDPqRvcW3NN,Butebo District,Bukedi
i6w95d8uOH0,Kanginima (Butebo) Hospital,jFNWWovsSyW,Kanginima Subcounty,FDPqRvcW3NN,Butebo District,Bukedi
EEuh52Rx0HI,Kanyumu HC II,X7IxKzXFuG2,Butebo Subcounty,FDPqRvcW3NN,Butebo District,Bukedi
rLRgiOLdAhU,Nagwere HC III,HoW0caoiLjf,Petete Subcounty,FDPqRvcW3NN,Butebo District,Bukedi
LXSc8Kd4whS,Putti HC II,Vko6vxEEGTL,Kabwangasi Subcounty,FDPqRvcW3NN,Butebo District,Bukedi
fkJeVUE3nKb,Bathesida HC II,qUnWFJF2sOW,Buwooya Subcounty,aZLZPPjqft0,Buvuma District,North Central
aVeE8JrylXn,Bugaya HC III,zpLy53v57se,Buvuma Bugaya Subcounty,aZLZPPjqft0,Buvuma District,North Central
afzGq7RpOTl,Busamuzi HC III,D3NU99wFJ8q,Busamuzi Subcounty,aZLZPPjqft0,Buvuma District,North Central
ewMHVf7tjwq,Buvuma HC IV,N5HS3jdULUy,Buvuma Town Council,aZLZPPjqft0,Buvuma District,North Central
nz7bw6ghlow,Buvuma Prison HC II,N5HS3jdULUy,Buvuma Town Council,aZLZPPjqft0,Buvuma District,North Central
AIl1p6YgqxA,Buwooya HC II,qUnWFJF2sOW,Buwooya Subcounty,aZLZPPjqft0,Buvuma District,North Central
G6GmMEAZA9r,Bweema HC II,YCLl9sb7PPj,Bweema Subcounty,aZLZPPjqft0,Buvuma District,North Central
OOEbAPdUMTg,Lingira (Ywam) Health Centre HC II,qUnWFJF2sOW,Buwooya Subcounty,aZLZPPjqft0,Buvuma District,North Central
aZjBV5O7kkf,Lubya HC II,LuQr8DC2ODx,Lubya Subcounty,aZLZPPjqft0,Buvuma District,North Central
vDmdUfmWS3J,Lukale HC II,Tk7ofkvg3K9,Nairambi Subcounty,aZLZPPjqft0,Buvuma District,North Central
bBNSvGxVrSq,Lwajje HC II,YCLl9sb7PPj,Bweema Subcounty,aZLZPPjqft0,Buvuma District,North Central
LDngLVQbqNI,Namatale HC III,YCLl9sb7PPj,Bweema Subcounty,aZLZPPjqft0,Buvuma District,North Central
Eg7Efn5rKSj,Namiti Health Centre HC II,LuQr8DC2ODx,Lubya Subcounty,aZLZPPjqft0,Buvuma District,North Central
WezVXLK01Ry,Nkata HC II,zpLy53v57se,Buvuma Bugaya Subcounty,aZLZPPjqft0,Buvuma District,North Central
L63oRktfIfQ,Bukungu HC II,sCXOgVGqtpp,Kidera Subcounty,F3ccON3OCsL,Buyende District,Busoga
YYtjEbgJadL,Buyanja SDA HC II,sCXOgVGqtpp,Kidera Subcounty,F3ccON3OCsL,Buyende District,Busoga
ADB4cMlJP2q,Buyende Bugaya HC III,gN1WNlUMCAO,Bugaya Subcounty,F3ccON3OCsL,Buyende District,Busoga
a6qaoH2Xzb1,Buyende HC III,RFO7xONPACc,Buyende Town Council,F3ccON3OCsL,Buyende District,Busoga
YyMrMYzJzsf,Buyende Prison HC II,RFO7xONPACc,Buyende Town Council,F3ccON3OCsL,Buyende District,Busoga
e52pQL1vETI,Ikanda HC II,SlNtFLDkwFu,Buyende Subcounty,F3ccON3OCsL,Buyende District,Busoga
NrdLSWyKHLF,Iraapa HC II,gN1WNlUMCAO,Bugaya Subcounty,F3ccON3OCsL,Buyende District,Busoga
aUha0DsNygQ,Iringa HC II,w8tQUCOIBLf,Nkondo Subcounty,F3ccON3OCsL,Buyende District,Busoga
GRE9Qa05dRS,Irundu HC III,ankNTtBte7C,Kagulu Subcounty (Buyende District),F3ccON3OCsL,Buyende District,Busoga
wVUhuXat0MO,Irundu St. Mathias Mulumba HC III,ankNTtBte7C,Kagulu Subcounty (Buyende District),F3ccON3OCsL,Buyende District,Busoga
cPD20WxZQ27,Joy Health Unit HC II,ankNTtBte7C,Kagulu Subcounty (Buyende District),F3ccON3OCsL,Buyende District,Busoga
QOZR5fA8TL7,Kagulu HC II,ankNTtBte7C,Kagulu Subcounty (Buyende District),F3ccON3OCsL,Buyende District,Busoga
ePBBFCBzmt1,Kakooge HC II,SlNtFLDkwFu,Buyende Subcounty,F3ccON3OCsL,Buyende District,Busoga
KzxdCSnvGwD,Kidera HC IV,sCXOgVGqtpp,Kidera Subcounty,F3ccON3OCsL,Buyende District,Busoga
MhWyHSTHrmd,Kidera Prison Clinic,sCXOgVGqtpp,Kidera Subcounty,F3ccON3OCsL,Buyende District,Busoga
LBp4DiaMDo4,Kigingi Flep HC II,w8tQUCOIBLf,Nkondo Subcounty,F3ccON3OCsL,Buyende District,Busoga
hUhiiXuFEbT,Mpunde HC II,ankNTtBte7C,Kagulu Subcounty (Buyende District),F3ccON3OCsL,Buyende District,Busoga
XHVJy3yg2Oz,Namulikya HC II,gN1WNlUMCAO,Bugaya Subcounty,F3ccON3OCsL,Buyende District,Busoga
IIebiWis6BW,Namusikizi HC II,gN1WNlUMCAO,Bugaya Subcounty,F3ccON3OCsL,Buyende District,Busoga
Dp5AvjsBoN3,Ngandho HC II,gN1WNlUMCAO,Bugaya Subcounty,F3ccON3OCsL,Buyende District,Busoga
NH812X6ioSQ,"Nkdu Health Center, Iringa HC II",w8tQUCOIBLf,Nkondo Subcounty,F3ccON3OCsL,Buyende District,Busoga
x3sV3Vm3jFW,Nkondo HC III,w8tQUCOIBLf,Nkondo Subcounty,F3ccON3OCsL,Buyende District,Busoga
QiVIw8ruYEs,Nkoone HC II,ankNTtBte7C,Kagulu Subcounty (Buyende District),F3ccON3OCsL,Buyende District,Busoga
mF6bQRRHX1e,Wandago HC II,gN1WNlUMCAO,Bugaya Subcounty,F3ccON3OCsL,Buyende District,Busoga
KaQgUo68H9v,Wesunire Catholic HC III,SlNtFLDkwFu,Buyende Subcounty,F3ccON3OCsL,Buyende District,Busoga
DCjQKtUiiHH,Wesunire Flep HC II,SlNtFLDkwFu,Buyende Subcounty,F3ccON3OCsL,Buyende District,Busoga
UjMKFe4MIGj,Abalang HC II (Okwalongwen Subcounty),lbIyDdBijdD,Okwalongwen Subcounty,wMQ25dybdgH,Dokolo District,Lango
zy3p9lNo0dh,Adagmon HC II,F9n4CIZXoSa,Dokolo Subcounty,wMQ25dybdgH,Dokolo District,Lango
tdWJ67qCYZK,Adok HC II,Lo367kZNoT7,Adok Subcounty,wMQ25dybdgH,Dokolo District,Lango
edmPMqBbzJw,Adok Maternity Home,Lo367kZNoT7,Adok Subcounty,wMQ25dybdgH,Dokolo District,Lango
I6dPpBBTk04,Adwoki Maternity Home,ak3LSCYUzzc,Agwata Subcounty,wMQ25dybdgH,Dokolo District,Lango
sYHZIUFx50X,Agwatta HC III,ak3LSCYUzzc,Agwata Subcounty,wMQ25dybdgH,Dokolo District,Lango
qBVBH0yzctn,Alapata HC II,VFQwTt1dbwy,Bata Subcounty,wMQ25dybdgH,Dokolo District,Lango
GhPOJYsK5di,Amuda HC II,ak3LSCYUzzc,Agwata Subcounty,wMQ25dybdgH,Dokolo District,Lango
ac9DA2VJVnk,Amwoma HC II,g6FnEMkJC9Q,Amwoma Subcounty,wMQ25dybdgH,Dokolo District,Lango
fb3OMf58qdu,Anyacoto HC II,XWHw6fTKtoE,Okwongodul Subcounty,wMQ25dybdgH,Dokolo District,Lango
RZwOQM4fzR3,Atabu HC II,VFQwTt1dbwy,Bata Subcounty,wMQ25dybdgH,Dokolo District,Lango
am0CWdRoImq,Awelo HC II,d9BOrS0TD0v,Adeknino Subcounty,wMQ25dybdgH,Dokolo District,Lango
AWgqpMWL7Qh,Awiri HC II,F9n4CIZXoSa,Dokolo Subcounty,wMQ25dybdgH,Dokolo District,Lango
lS9T6oCJ5Lc,Bardyang HC II,Lo367kZNoT7,Adok Subcounty,wMQ25dybdgH,Dokolo District,Lango
NunHrloqul7,Bata HC III,VFQwTt1dbwy,Bata Subcounty,wMQ25dybdgH,Dokolo District,Lango
ZDaLDEg8FrX,Bata Medical Center,VFQwTt1dbwy,Bata Subcounty,wMQ25dybdgH,Dokolo District,Lango
cbQ39LEDKca,Blessed Medical Center,d9BOrS0TD0v,Adeknino Subcounty,wMQ25dybdgH,Dokolo District,Lango
KBNJtdMGHlZ,Dokolo HC IV,uI5RcvNU7bG,Dokolo Town Council,wMQ25dybdgH,Dokolo District,Lango
RiDHYlvtrzw,Dokolo Maternity Clinic,uI5RcvNU7bG,Dokolo Town Council,wMQ25dybdgH,Dokolo District,Lango
iNWEqA1TqGM,Dokolo Prison HC II,F9n4CIZXoSa,Dokolo Subcounty,wMQ25dybdgH,Dokolo District,Lango
H7mo6x8x8yS,Kachung HC II,ak3LSCYUzzc,Agwata Subcounty,wMQ25dybdgH,Dokolo District,Lango
aP04v4fQbSd,Kangai HC III,lKc1HJwGQpo,Kangai Subcounty,wMQ25dybdgH,Dokolo District,Lango
qtuW2f0PouE,Kwera Community Maternity Home Clinic,xYpXN24CZWB,Kwera Subcounty,wMQ25dybdgH,Dokolo District,Lango
fxZxvguCeIw,Kwera HC III,xYpXN24CZWB,Kwera Subcounty,wMQ25dybdgH,Dokolo District,Lango
tw7g2aShrXi,Bukalagi HC III,vjJEam7cAan,Kyegonza Subcounty,lQj3yMM1lI7,Gomba District,South Central
QLJmdTgkB3N,Bulwadda HC II,wqcNzckuzrb,Kabulasoke Subcounty,lQj3yMM1lI7,Gomba District,South Central
Abzyw3gTHdQ,Buyanja (Gomba) HC II,lTvwHHfan86,Kyayi Subcounty,lQj3yMM1lI7,Gomba District,South Central
XsLMulDu2aw,Kanoni HC III,O55NSHMG3SN,Kanoni Town Council,lQj3yMM1lI7,Gomba District,South Central
XiuUuRV6T0D,Kanoni Prison Clinic,O55NSHMG3SN,Kanoni Town Council,lQj3yMM1lI7,Gomba District,South Central
SCOrhnwQX8k,Kanzira HC II,SkMZHCUnzSK,Mpenja Subcounty,lQj3yMM1lI7,Gomba District,South Central
QX10pPIWlfR,Kasambya (Gomba) HC II,lTvwHHfan86,Kyayi Subcounty,lQj3yMM1lI7,Gomba District,South Central
aRRsrxSesDy,Kewerimidde HC II,vjJEam7cAan,Kyegonza Subcounty,lQj3yMM1lI7,Gomba District,South Central
gMSnZfci97x,Kifampa HC III,lr5wgZpad5J,Kifampa Subcounty,lQj3yMM1lI7,Gomba District,South Central
KNuyUySHocg,Kisozi HC III,lr5wgZpad5J,Kifampa Subcounty,lQj3yMM1lI7,Gomba District,South Central
wVUi8BXxKkY,Kitwe HC II,voFp0uhCRYz,Maddu Subcounty,lQj3yMM1lI7,Gomba District,South Central
pnmOv3soTJG,Kitwe Prison HC II,voFp0uhCRYz,Maddu Subcounty,lQj3yMM1lI7,Gomba District,South Central
tPiPaWz3TIK,Kyayi HC III,lTvwHHfan86,Kyayi Subcounty,lQj3yMM1lI7,Gomba District,South Central
r7ugOoXi8F1,Maddu HC IV,pEwwas3Icjp,Maddu Town Council,lQj3yMM1lI7,Gomba District,South Central
SfqoAfHZm8l,Mamba HC II,vjJEam7cAan,Kyegonza Subcounty,lQj3yMM1lI7,Gomba District,South Central
MGA4eDHuCG9,Mawuki HC II,wqcNzckuzrb,Kabulasoke Subcounty,lQj3yMM1lI7,Gomba District,South Central
CcCjT4HFRuy,Mpenja HC III,SkMZHCUnzSK,Mpenja Subcounty,lQj3yMM1lI7,Gomba District,South Central
asCegsmRBma,Namabeya HC II,vjJEam7cAan,Kyegonza Subcounty,lQj3yMM1lI7,Gomba District,South Central
o1LaetcCY7S,Ngeribalya HC II,MZ1b7h9NWeS,Tababinzi Subcounty,lQj3yMM1lI7,Gomba District,South Central
Xvt0nRCNyrC,Ngomanene HC II,MZ1b7h9NWeS,Tababinzi Subcounty,lQj3yMM1lI7,Gomba District,South Central
qNEyUa4AQg9,Rapha Medical HC III,vjJEam7cAan,Kyegonza Subcounty,lQj3yMM1lI7,Gomba District,South Central
kE3qTLNZlZ8,Zee Medical Centre HC II,O55NSHMG3SN,Kanoni Town Council,lQj3yMM1lI7,Gomba District,South Central
b2LlvIFGc5U,AAR Gulu Clinic,x7pZ9LvlBky,Laroo Division,Gwk4wkLz7EW,Gulu District,Acholi
CkUZza1MI3Y,Agonga Karine Community HC II,AqI7h2H7UpY,Laliya Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
P2sdfoxH0a7,Angaya HC III,Anb2BySBeLP,Unyama Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
Z1dfGmIoSeF,Awach HC IV,nd7BxeKY0BC,Awach Subcounty (Gulu District),Gwk4wkLz7EW,Gulu District,Acholi
aE0Yzd3YZQ9,Aywee HC III,spJaE9AvZmf,Pece Division,Gwk4wkLz7EW,Gulu District,Acholi
aKP6B0Z5nbZ,Bardege HC III,kTswDBmRkXI,Bardege Division,Gwk4wkLz7EW,Gulu District,Acholi
AbgTvK9gyhA,Care Plus Medical Centre,p5nJqYlFrnv,Layibi Division,Gwk4wkLz7EW,Gulu District,Acholi
Az3dr4kZboc,Charity Medical Centre,p5nJqYlFrnv,Layibi Division,Gwk4wkLz7EW,Gulu District,Acholi
gNOc58wzKHx,Child Care Community Centre,LNkFivzpeA1,Bungatira Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
aoBupw5zrMP,Comboni Samaritans HC II,p5nJqYlFrnv,Layibi Division,Gwk4wkLz7EW,Gulu District,Acholi
pXRws5D6wrR,Community Clinic,spJaE9AvZmf,Pece Division,Gwk4wkLz7EW,Gulu District,Acholi
KBjtlZguP00,Coope HC II,LNkFivzpeA1,Bungatira Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
apGje3lIGEP,Cwero HC III,OKIyTJatyIr,Paicho Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
aLYCBzAcgPU,Fitzmann Medical and Dental Clinic,spJaE9AvZmf,Pece Division,Gwk4wkLz7EW,Gulu District,Acholi
DgcoJ3W21vA,Flama Uganda HC II,x7pZ9LvlBky,Laroo Division,Gwk4wkLz7EW,Gulu District,Acholi
UpumtCGZcN0,Glanhor Clinic,p5nJqYlFrnv,Layibi Division,Gwk4wkLz7EW,Gulu District,Acholi
LIuykl04kI9,Good Hope Medical Centre (Gulu) Clinic,p5nJqYlFrnv,Layibi Division,Gwk4wkLz7EW,Gulu District,Acholi
fLjNMAg4ymN,Goodwilll Polyclinic,spJaE9AvZmf,Pece Division,Gwk4wkLz7EW,Gulu District,Acholi
RefkDqDX6jq,Gracius Clinic and Maternity Home,OKIyTJatyIr,Paicho Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
RsY5tCgiuHp,Gulu Independent Hospital,kTswDBmRkXI,Bardege Division,Gwk4wkLz7EW,Gulu District,Acholi
ac0AKXEU6Cz,Gulu Lifeline Clinic,spJaE9AvZmf,Pece Division,Gwk4wkLz7EW,Gulu District,Acholi
x1UaYpPwx6c,Gulu Military Hospital,kTswDBmRkXI,Bardege Division,Gwk4wkLz7EW,Gulu District,Acholi
afGTmR6EesS,Gulu Police HC III,spJaE9AvZmf,Pece Division,Gwk4wkLz7EW,Gulu District,Acholi
i7JbInoEb2D,Gulu Prison HC III,p5nJqYlFrnv,Layibi Division,Gwk4wkLz7EW,Gulu District,Acholi
QDc7Wijvfca,Gulu Regional Referral Hospital,x7pZ9LvlBky,Laroo Division,Gwk4wkLz7EW,Gulu District,Acholi
GDyo7zIJZ29,Gulu University HC II,x7pZ9LvlBky,Laroo Division,Gwk4wkLz7EW,Gulu District,Acholi
pVtYCy55mn4,Gulu Women Prison HC II,p5nJqYlFrnv,Layibi Division,Gwk4wkLz7EW,Gulu District,Acholi
qZUu0ylcHTa,Gulu Youth Centre HC II,x7pZ9LvlBky,Laroo Division,Gwk4wkLz7EW,Gulu District,Acholi
F6wXWJHDAlo,Gwengdiya HC II,nd7BxeKY0BC,Awach Subcounty (Gulu District),Gwk4wkLz7EW,Gulu District,Acholi
iRuin8Wmvzp,Healing Hand Medical Centre,Anb2BySBeLP,Unyama Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
S0RHvHct4uS,International Medical Centre Clinic,x7pZ9LvlBky,Laroo Division,Gwk4wkLz7EW,Gulu District,Acholi
cStwSlODOpK,Kal Alii HC II,OKIyTJatyIr,Paicho Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
huR6kAEICw4,Karin Medical Centre HC II,Anb2BySBeLP,Unyama Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
jnS54maqjwy,Kony-Kwo Clinic,p5nJqYlFrnv,Layibi Division,Gwk4wkLz7EW,Gulu District,Acholi
ltWFhjfI6qF,Labworomor HC III,N00GWUvXv52,Palaro Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
FvZUwmuSrzB,Lapeta HC II,Anb2BySBeLP,Unyama Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
elqHQKpMveQ,Laroo HC III,x7pZ9LvlBky,Laroo Division,Gwk4wkLz7EW,Gulu District,Acholi
n8DIemz1Xoh,Layibi Techo HC III,p5nJqYlFrnv,Layibi Division,Gwk4wkLz7EW,Gulu District,Acholi
JIhuoOFwtAr,Light Rays Uganda HC II,kTswDBmRkXI,Bardege Division,Gwk4wkLz7EW,Gulu District,Acholi
Gzcd4Zsd8iB,Lugore HC II,ALL4sSTGBRn,Owalo Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
PQ5WTEpxw8U,Lugore Prisons HC II,ALL4sSTGBRn,Owalo Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
dIbIL5tIcDi,Lukodi HC II,LNkFivzpeA1,Bungatira Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
aRBRoPNJuhf,Marie Stopes Uganda Gulu HC II,x7pZ9LvlBky,Laroo Division,Gwk4wkLz7EW,Gulu District,Acholi
pD07V67nAEZ,Mary Queen Of Peace HC II,Anb2BySBeLP,Unyama Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
Vc52QmdPT1X,Mola Medical Centre Clinic,x7pZ9LvlBky,Laroo Division,Gwk4wkLz7EW,Gulu District,Acholi
F2C1BkGVMSW,Oitino HC II,eqWTxwNFZ3e,Owoo Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
ZEEW8QXy1sS,Omel HC II,SXn9X0OzWLu,Omel Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
bRt4VDvHDPQ,Oroko HC II,N00GWUvXv52,Palaro Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
WleyUUQfJK6,Pabwo HC III,eqWTxwNFZ3e,Owoo Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
gtVTKwveKEE,Paibona HC II,PByGsFlUb4P,Paibona Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
qb4Et8MqIZt,Paicho Medical Centre,OKIyTJatyIr,Paicho Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
T5RAXrLQCD6,Patiko HC III,mJidDmRCdn8,Patiko Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
NsNbvtaMOK2,Pawel Angany HC II,mJidDmRCdn8,Patiko Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
MRK5dHBnvSw,Pece Prisons HC II,x7pZ9LvlBky,Laroo Division,Gwk4wkLz7EW,Gulu District,Acholi
jysVbegOvJ8,Pikwo Medical Centre Clinic,kTswDBmRkXI,Bardege Division,Gwk4wkLz7EW,Gulu District,Acholi
DCyQXcoWZw7,Pilwak Clinic (Pece) HC II,spJaE9AvZmf,Pece Division,Gwk4wkLz7EW,Gulu District,Acholi
UgqKAVxjbex,Pugwinyi HC II,eqWTxwNFZ3e,Owoo Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
EutuLBY58L0,Pukony HC II,ufFYZzS4K49,Pukony Subcounty,Gwk4wkLz7EW,Gulu District,Acholi
